id,name
1,白鳥の湖
2,眠れる森の美女
3,くるみ割り人形
4,海賊
5,ジゼル
6,パキータ
7,ドン・キホーテ
8,コッペリア
9,ラ・バヤデール
10,ライモンダ
11,その他
